Case No.,IOC English name,Scientific name,Location,State/Territory,Sighting Date,Submission,Decision,Acceptance tally
1002,Great Shearwater,Ardenna gravis,Eaglehawk Neck,TAS,28/29/04/2018,Submission,Accepted,15
1093,Great Shearwater,Ardenna gravis,Eaglehawk-Neck,TAS,6/2/2019,Submission,Accepted,16
1113,Great Shearwater,Ardenna gravis,off Walpole,WA,5/12/2019,Submission,Accepted,17
1114,Great Shearwater,Ardenna gravis,Bremer Canyon,WA,1/6/2020,Submission,Accepted,18
1115,Great Shearwater,Ardenna gravis,Bremer Canyon,WA,1/7/2020,Submission,Accepted,19
1116,Great Shearwater,Ardenna gravis,Bremer Canyon,WA,1/13/2020,Submission,Accepted,20
1117,Great Shearwater,Ardenna gravis,Bremer Canyon,WA,2/4/2020,Submission,Accepted,21
1122,Great Shearwater,Ardenna gravis,Bremer Canyon,WA,2/18/2020,Submission,Accepted,22
1127,Great Shearwater,Ardenna gravis,Bremer Canyon,WA,4/23/2019,Submission,Accepted,23
1246,Great Shearwater,Puffinus gravis,Bremer Canyon,WA,2/8/2022,Submission,Accepted,24
1247,Great Shearwater,Puffinus gravis,Bremer Canyon,WA,1/19/2020,Submission,Accepted,25
28,Great-billed Heron,Ardea sumatrana,Jambin,QLD,1978-1979,,Not Accepted,x
113,Greater Flamingo,Phoenicopterus roseus,"North Keeling I., Cocos (Keeling) Islands",IOT,4/26/1988,,Accepted,1
175,Greater Yellowlegs,Tringa melanoleuca,Pitt Town,NSW,10/9/1993,,Not Accepted,x
46,Green Sandpiper,Tringa ochropus,Kapalga,NT,9/22/1980,,Not accepted,x
239,Green Sandpiper,Tringa ochropus,Darwin ,NT,3/4/1998,,Accepted,1
303,Green Sandpiper,Tringa ochropus,Alice Springs ,NT,9/4/2000,,Not Accepted,x
526,Green Sandpiper,Tringa ochropus,Ralphs Bay ,TAS,11/14/2006,,Not Accepted,x
368,Grey Heron,Ardea cinerea,Busselton ,WA,5/20/2002,,Accepted,1
450,Grey Nightjar,Caprimulgus jotaka,Ashmore Reef,WA,12/25/2003,,Accepted,1
493,Grey Nightjar,Caprimulgus jotaka,Timor Sea ,NT,8/23/2005,,Not Accepted,x
209,Grey Noddy,Anous albivittus,Point Lookout ,QLD,5/15/1996,,Accepted,1
211,Grey Noddy,Anous albivittus,Burleigh Heads ,QLD,May-95,,Accepted,2
140,Grey Petrel,Procellaria cinerea,Flat Rock Beach,NSW,2/17/1985,,Accepted,1
147,Grey Petrel,Procellaria cinerea,off Eaglehawk Neck,TAS,7/12/1992,,Accepted,2
151,Grey Petrel,Procellaria cinerea,off Storm Bay,TAS,6/12/1992,,Accepted,3
160,Grey Petrel,Procellaria cinerea,off St Helens,TAS,7/22/1991,,Accepted,4
176,Grey Petrel,Procellaria cinerea,off Storm Bay,TAS,6/4/1993,,Accepted,5
18,Grey Wagtail,Motacilla cinerea,Lake Daly,WA,11/6/1979,,Not Accepted,x
19,Grey Wagtail,Motacilla cinerea,Atherton,QLD,1/21/1980,,Accepted,1
20,Grey Wagtail,Motacilla cinerea,Mt Lofty Ranges,SA,3/25/1980,,Accepted,2
21,Grey Wagtail,Motacilla cinerea,Innisfail,QLD,2/8/1970,,Accepted,3
27,Grey Wagtail,Motacilla cinerea,Sanderson,NT,3/9/1980,,Accepted,4
157,Grey Wagtail,Motacilla cinerea,Paluma,QLD,2/11/1993,,Accepted,6
234,Grey Wagtail,Motacilla cinerea,Darwin ,NT,Jan-98,,Accepted,7
264,Grey Wagtail,Motacilla cinerea,Alice Springs ,NT,3/15/1999,,Accepted,8
281,Grey Wagtail,Motacilla cinerea,Chistmas Island,IOT,11/14/1999,,Accepted,9
347,Grey Wagtail,Motacilla cinerea,Mitchell Plateau ,WA,11/17/2001,,Accepted,10
376,Grey Wagtail,Motacilla cinerea,Barron Gorge ,QLD,2/15/2003,,Accepted,11
383,Grey Wagtail,Motacilla cinerea,"Pascoe River, Cape York Peninsula ",QLD,11/3/2002,,Accepted,12
391,Grey Wagtail,Motacilla cinerea,Chistmas Island,IOT,9/10/2002,,Accepted,13
400,Grey Wagtail,Motacilla cinerea,Chistmas Island,IOT,8/24/2003,,Accepted,14
407,Grey Wagtail,Motacilla cinerea,Broome ,WA,11/11/2003,,Accepted,15
439,Grey Wagtail,Motacilla cinerea,Tanami Mine ,NT,11/11/2004,,Accepted,16
446,Grey Wagtail,Motacilla cinerea,Ashmore Reef,WA,10/27/2004,,Accepted,17
461,Grey Wagtail,Motacilla cinerea,Adele Island ,WA,11/20/2004,,Accepted,18
511,Grey Wagtail,Motacilla cinerea,Fraser Island ,QLD,12/5/2006,,Accepted,19
374,Grey-faced Buzzard,Butastur indicus,"Boigu Island, Torres Strait",QLD,8/24/2002,,Not Accepted,x
428,Grey-headed Goshawk,Accipiter poliocephalus,"Saibai Island, Torres Strait ",QLD,7/17/1996,,Not Accepted,x
1299,Grey-headed Goshawk,Accipiter poliocephalus,Lakeland,QLD,26-30/11/2023,Submission,Not Accepted,x
492,Grey-headed Lapwing,Vanellus cinereus,Burren Junction ,NSW,7/19/2006,,Accepted,1
866,Grey-headed Lapwing,Vanellus cinereus,Chiltern National Park,VIC,12/5/2014,,Accepted,2
1007,Grey-headed Lapwing,Vanellus cinereus,"Penrith Lakes, Western Sydney",NSW,5-14/09/18,Submission,Accepted,3
1009,Grey-headed Lapwing,Vallenus cinereus,Amata WWTP,SA,2-3-Mar-14,Submission,Accepted,4
1010,Grey-headed Lapwing,Vallenus cinereus,Cocos (Keeling) Islands,IOT,1/24/2016,Submission,Accepted,5
1011,Grey-headed Lapwing,Vallenus cinereus,Hall's Creek,WA,11-Oct- Nov-17,Submission,Accepted,6
707,Grey-streaked Flycatcher,Muscicapa griseisticta,Ashmore Reef,WA,10/16/2010,,Accepted,1
1079,Grey-streaked Flycatcher,Muscicapa griseisticta,Cocos (Keeling) Islands,IOT,11/24/2018,Submission,Accepted,2
1080,Grey-streaked Flycatcher,Muscicapa griseisticta,Cocos (Keeling) Islands,IOT,23-25 Nov-18,Submission,Accepted,3
809,Greylag Goose,Anser anser,Norfolk Island ,NI,1/1/2014,,Not Accepted,x
106,Gurney's Eagle,Aquila gurneyi,"Boigu Island, Torres Strait",QLD,2/27/1987,,Accepted,1
333,Gurney's Eagle,Aquila gurneyi,"Boigu Island, Torres Strait",QLD,1/24/2002,,Accepted,2
441,Gurney's Eagle,Aquila gurneyi,"Boigu Island, Torres Strait",QLD,11/18/2004,,Accepted,3
485,Gurney's Eagle,Aquila gurneyi,"Saibai Island, Torres Strait ",QLD,9/5/2002,,Accepted,4
508,Gurney's Eagle,Aquila gurneyi,Cape York ,QLD,6/10/2006,,Not Accepted,x
915,Gurney's Eagle,Aquila gurneyi,"Saibai Island, Torres Strait",QLD,3/16/2016,,Accepted,5
1130,Gurney's Eagle,Aquila gurneyi ,"Saibai Island, Torres Strait",QLD,10/12/2007,Submission,Accepted,6
1131,Gurney's Eagle,Aquila gurneyi ,"Saibai Island, Torres Strait",QLD,3/13/2020,Submission,Accepted,7
867,Heinroth’s Shearwater,Puffinus heinrothi,North-West Shelf,WA,10/21/2014,,Accepted,1
51,Herald Petrel,Pterodroma heraldica,off Sydney,NSW,10/30/1982,,Accepted,1
64,Herald Petrel,Pterodroma heraldica,Ballina,NSW,5/19/1979,,Accepted,2
300,Herald Petrel,Pterodroma heraldica,off Southport  ,QLD,2/11/2000,,Accepted,3
311,Herald Petrel,Pterodroma heraldica,off Dunnalley ,TAS,1/10/2001,,Accepted,4
640,Herald Petrel,Pterodroma heraldica,Chistmas Island,IOT,8/29/2006,,Accepted,5
877,Herald Petrel,Pterodroma heraldica,Queensland Seamount,QLD,3/19/2015,,Accepted,6
1185,Herald Petrel,Pterodroma heraldica,Queensland Seamount,QLD ,3/13/2021,Submission,Accepted,7
1193,Herald Petrel,Pterodroma heraldica,"Phillip Island, Norfolk Island ",NI,14-15-Jun-21,Submission,Accepted,8
697,Himalayan Swiftlet,Aerodramus brevirostris,Chistmas Island,IOT,11/7/2005,,Not Accepted,x
830,Himalayan Swiftlet,Aerodramus brevirostris,Cocos (Keeling) Islands,IOT,1/15/2014,,Not Accepted,x
1249,Himalayan Swiftlet,Aerodramus brevirostris,"Nightcliff, Darwin",NT,6/19/2022,Submission,Not Accepted,x
796,Hooded Pitta,Pitta sordida cuculata,Barrow Island,WA,1/23/2010,,Accepted,1
556,House Crow,Corvus splendens ,Dee Why ,NSW,3/13/2008,,Accepted,x
556.1,House Crow,Corvus splendens ,Dee Why ,NSW,3/13/2008,Submission,Not Accepted,x
912,House Crow,Corvus splendens,Derby ,WA,7/24/2015,,Not Accepted,x
948,House Crow,Corvus splendens,Freemantle,WA,3/7/2016,,Accepted,x
948.1,House Crow,Corvus splendens,Freemantle,WA,3/7/2016,Submission,Not Accepted,x
1204,House Crow,Corvus splendens,Bunbury,WA,16-Aug-21 - 21-Aug-21,Submission,Not Accepted,x
91,House Swift,Apus nipalensis subfurcatus,Point Stuart Station,NT,3/16/1979,,Accepted,1
177,House Swift,Apus nipalensis,Caboolture,QLD,1/1/1994,,Accepted,2
199,House Swift,Apus nipalensis,Ballina,NSW,3/7/1995,,Not Accepted,x
235,House Swift,Apus nipalensis,Broome ,WA,Feb-98,,Accepted,3
238,House Swift,Apus nipalensis,Edgeworth ,NSW,12/24/1997,,Not Accepted,x
274,House Swift,Apus nipalensis,Kuranda ,QLD,12/19/1998,,Accepted,4
275,House Swift,Apus nipalensis,"Brinsmead, Cairns ",QLD,12/27/1998,,Accepted,5
302,House Swift,Apus nipalensis,Broome ,WA,3/6/2000,,Accepted,6
387,House Swift,Apus nipalensis,NW of Dungog,NSW,1/30/2003,,Not Accepted,x
415,House Swift,Apus nipalensis,"West Island, Ashmore Reef",WA,11/5/2003,,Accepted,7
495,House Swift,Apus nipalensis,Mount Carbine ,QLD,9/17/2001,,Not Accepted,x
496,House Swift,Apus nipalensis,Broome ,WA,2/15/2001,,Accepted,8
497,House Swift,Apus nipalensis,"Bunya, Brisbane ",QLD,12/17/2005,,Not Accepted,x
570,House Swift,Apus nipalensis,Chistmas Island,IOT,4/27/2008,,Accepted,9
579,House Swift,Apus nipalensis,Sunshine Coast ,QLD,3/11/2008,,Not Accepted,x
686,House Swift,Apus nipalensis,Broome,WA,4/6/2011,,Accepted,10
737,House Swift,Apus nipalensis,Chistmas Island,IOT,11/28/2011,,Accepted,11
768,House Swift,Apus nipalensis,Iluka,NSW,1/1/2013,,Not Accepted,x
772,House Swift,Apus nipalensis,Glenelg NP,SA,1/22/2013,,Not Accepted,x
782,House Swift,Apus nipalensis,Surfside,NSW,2/8/2012,,Not Accepted,x
1032,House Swift,Apus nipalensis,Broome ,WA,11-12-Jan-18,Submission,Accepted,12
1034,House Swift,Apus nipalensis,Broome,WA,2/16/2018,Submission,Accepted,13
1052,House Swift,Apus nipalensis,Broome,WA,1/25/2019,Submission,Accepted,14
1139,House Swift,Apus nipalensis,Cocos (Keeling) Islands,IOT,3/19/2017,Submission,Accepted,15
1159,House Swift,Apus nipalensis,Darwin,NT,1-Apr-19 to 4-Apr-19,Submission,Accepted,16
1271,House Swift,Apus nipalensis,Rollingstone,QLD,1/5/2023,,Under review,
123,Hudsonian Godwit,Limosa haemastica,Dry Ck Saltfields,SA,9/20/1986,,Accepted,1
127,Hudsonian Godwit,Limosa haemastica,Lauderdale,TAS,7/21/1991,,Accepted,2
148,Hudsonian Godwit,Limosa haemastica,Kooragang Island,NSW,12/26/1982,,Accepted,3
512,Hudsonian Godwit,Limosa haemastica,Werribee ,VIC,1/13/2000,,Accepted,4
592,Hudsonian Godwit,Limosa haemastica,Port Phillip Bay ,VIC,2/22/2009,,Accepted,5
732,Hudsonian Godwit,Limosa haemastica,Lake Joondalup,WA,2/11/2012,,Accepted,6
896,Hudsonian Godwit,Limosa haemastica,Lake Wollumboola,NSW,12/23/2015,,Accepted,7
999,Hudsonian Godwit,Limosa haemastica,Orielton Lagoon,TAS,3/9/2018,,Accepted,8
1006,Hudsonian Godwit,Limosa haemastica,Lake Wollumboola,NSW,7/1/2018,Submission,Accepted,9
1085,Hudsonian Godwit,Limosa haemastica,"Blakehurst, Sydney",NSW,25-Sep-19 plus,Submission,Accepted,10
1089,Hudsonian Godwit,Limosa haemastica,Lake Wollumboola,NSW,24-Mar-19 to 31-Mar-19,Submission,Accepted,11
1155,Hudsonian Godwit,Limosa haemastica,Western Port Bay,VIC,16-Nov-17 - 7-Dec-17,Submission,Accepted,12
1168,Hudsonian Godwit,Limosa haemastica,Orielton Lagoon,TAS,9/25/2018,Submission,Accepted,13
1170,Hudsonian Godwit,Limosa haemastica,"Port Kennedy Beach, Rockingham",WA,15/11/20 +,Submission,Not Accepted,x
1179,Hudsonian Godwit,Limosa haemastica,Lord Howe Island,NSW,17-25-Mar-21,Submission,Accepted,14
1282,Hudsonian Godwit,Limosa haemastica,South West Rocks,NSW,10-12/05/2023,Submission,Accepted,15
1151,Hudsonian Whimbrel,Numenius phaeopus hudsonicus,"Boigu Island, Torres Strait",QLD,3/9/2020,Submission,Not Accepted,x
950,Indian Cuckoo,Cuculus micropterus,Cocos (Keeling) Islands,IOT,2/2/2011,,Accepted,1
906,Intermediate Egret,Ardea intermedia,Lake Joondalup,WA,1/10/2016,,Accepted,1
928,Intermediate Egret,Ardea intermedia,Christmas Island,IOT,8/2/2016,,Accepted,1
1192,Intermediate Egret,Ardea intermedia,Cairns,QLD,6/7/2021,Submission,Not Accepted,x
359,Isabelline Wheatear,Oenanthe isabellina,Mt Carbine ,QLD,11/15/2002,,Accepted,1
467,Island Monarch,Monarcha cinerascens,Ashmore Reef,WA,10/28/2004,,Accepted,1
544,Island Monarch,Monarcha cinerascens,Ashmore Reef,WA,10/26/2007,,Accepted,2
581,Island Monarch,Monarcha cinerascens,Ashmore Reef,WA,10/22/2008,,Accepted,3
657,Island Monarch,Monarcha cinerascens,Cassini Island,WA,10/15/2010,,Accepted,4
701,Island Monarch,Monarcha cinerascens,Ashmore Reef,WA,10/29/2009,,Accepted,5
753,Island Monarch,Monarcha cinerascens,Browse Island,WA,11/17/2011,,Accepted,6
919,Island Monarch,Monarcha cinerascens,Browse Island,WA,11/5/2015,,Accepted,7
548,Japanese Night-Heron,Gorsachius melanocophus,Chistmas Island,IOT,11/29/2007,,Accepted,1
418,Japanese Sparrowhawk,Accipiter gularis,Chistmas Island,IOT,1/17/2004,,Not Accepted,x
747,Japanese Sparrowhawk,Accipiter gularis,Ashmore Reef,WA,4/27/2012,,Accepted,1
802,Japanese Sparrowhawk,Accipiter gularis ,Cocos (Keeling) Islands,IOT,Dec-10,,Not Accepted,x
822,Japanese Sparrowhawk,Accipiter gularis,"Horsburgh I., Cocos (Keeling) Islands",IOT,1/22/2014,,Accepted,2
870,Japanese Sparrowhawk,Accipiter gularis,Cocos (Keeling) Islands,IOT,12/8/2014,,Accepted,3
874,Japanese Sparrowhawk,Accipiter gularis,Christmas Island,IOT,12/3/2014,,Accepted,4
1251,Japanese Sparrowhawk,Accipiter gularis,Cocos (Keeling) Islands,IOT,Late Nov thru to Jan 23,Submission,Accepted,5
628,Javan Pond Heron,Ardeola speciosa,Cocos (Keeling) Islands,IOT,11/27/2009,,Accepted,1
661,Javan Pond Heron,Ardeola speciosa,Kununnura,WA,1/13/2011,,Accepted,2
1056,Javan Pond Heron,Ardeola speciosa ,Cocos (Keeling) Islands,IOT,12/11/2011,Submission,Accepted,3
1057,Javan Pond Heron,Ardeola speciosa ,Cocos (Keeling) Islands,IOT,Nov-2013 +,Submission,Accepted,4
1058,Javan Pond Heron,Ardeola speciosa ,Cocos (Keeling) Islands,IOT,11/17/2017,Submission,Accepted,5
1059,Javan Pond Heron,Ardeola speciosa ,Cocos (Keeling) Islands,IOT,11/26/2018,Submission,Accepted,6
349,Jouanin's Petrel,Bulweria fallax,"Ashmore Reef, nearby",WA,10/15/2000,,Accepted,1
363,Jouanin's Petrel,Bulweria fallax,"Ashmore Reef, nearby",WA,10/14/2002,,Accepted,2
458,Jouanin's Petrel,Bulweria fallax,Scott Reef,WA,10/30/2004,,Accepted,3
168,Juan Fernandez Petrel,Pterodroma externa,Cessnock,NSW,10/27/1988,,Accepted,1
987,Juan Fernandez Petrel,Pterodroma externa,Off Wollongong,NSW,8/10/1985,,Accepted,2
1035,Juan Fernandez Petrel,Pterodroma externa,off Eaglehawk Neck,TAS,1/14/2018,Submission,Accepted,2
1304,Juan Fernandez Petrel,Pterodroma externa,"Phillip Island, Norfolk Island ",NI,22/01/2024 & 19/03/2024,,Under review,
925,Kamchatka Leaf-Warbler,Phylloscopus examinandus,Broome,WA,2/14/2016,,Accepted,1
170,Kentish Plover,Charadrius alexandrinus,Darwin,NT,11/6/1988,,Accepted,1
343,Kentish Plover,Charadrius alexandrinus,Old Bar ,NSW,2/14/2002,,Accepted,2
641,Kentish Plover,Charadrius alexandrinus,Chistmas Island,IOT,4/17/2005,,Accepted,3
1099,Kentish Plover,Charadrius alexandrinus,Towra Point,NSW,12/14/2019,Submission,Accepted,4
1184,Kentish Plover,Charadrius alexandrinus,"Munna Point, Noosa River",QLD,22-Feb-20 - 21-Oct-20,Submission,Accepted,5
1210,Kentish Plover,Charadrius alexandrinus,Christmas Island,IOT,21-28-Dec-20,Submission,Accepted,6
1270,Kentish Plover,Charadrius alexandrinus,"Farquhar Inlet, Old Bar",NSW,12/31/2022,Submission,Accepted,7
1272,Kentish Plover,Charadrius alexandrinus,"Farquhar Inlet, Old Bar ",NSW,12/5/2022,Submission,Accepted,8
1284,Kentish Plover,Charadrius alexandrinus,Cocos (Keeling) Islands,IOT,26-30/04/2023,Submission,Accepted,9
1289,Kentish Plover,Charadrius alexandrinus,"Farquhar Inlet, Old Bar ",NSW,1/7/2021,Submission,Accepted,10
116,Kermadec Petrel,Pterodroma neglecta,Sydney,NSW,4/22/1988,,Withdrawn,x
293,Kermadec Petrel,Pterodroma neglecta,off Southport ,QLD,4/13/1996,,Accepted,1
294,Kermadec Petrel,Pterodroma neglecta,off Southport ,QLD,8/21/1999,,Accepted,2
309,Kermadec Petrel,Pterodroma neglecta,off Southport ,QLD,3/11/2000,,Accepted,3
310,Kermadec Petrel,Pterodroma neglecta,off Southport ,QLD,3/11/2000,,Accepted,4
138,King Penguin,Aptenodytes patagonicus,Bruny Island,TAS,4/1/1988,,Accepted,1
377,King Penguin,Aptenodytes patagonicus,Fortescue Bay ,TAS,3/1/2003,,Accepted,2
424,King Penguin,Aptenodytes patagonicus,Port MacDonnell ,SA,2/22/2004,,Accepted,3
601,King Penguin,Aptenodytes patagonicus,Freycinet NP ,TAS,2/10/2009,,Accepted,4
1101,King Penguin,Aptenodytes patagonicus,Seven Mile Beach,TAS,6-7/1/2020,Submission,Accepted,5
1111,King Penguin,Aptenodytes patagonicus,Bruny Island,TAS,1/29/2020,Submission,Accepted,6
494,Large Hawk-cuckoo,Hierococcyx sparverioides,Chistmas Island,IOT,12/15/2005,,Accepted,1
117,Laughing Gull,Larus atricilla,Eyre,WA,12/24/1988,,Accepted,1
120,Laughing Gull,Larus atricilla,Lakes Entrance,VIC,12/1/1989,,Accepted,2
122,Laughing Gull,Larus atricilla,Triabunna,TAS,12/6/1988,,Accepted,3
265,Laughing Gull,Larus atricilla,Cains Esplanade,QLD,12/11/1987,,Accepted,4
266,Laughing Gull,Larus atricilla,Cains Esplanade,QLD,4/17/1988,,Accepted,5
341,Laughing Gull,Larus atricilla,Bribie Island ,QLD,4/13/2002,,Accepted,6
352,Laughing Gull,Larus atricilla,Portland Roads ,QLD,7/19/2002,,Accepted,7
521,Laughing Gull,Larus atricilla,Cains Esplanade,QLD,2/12/2007,,Accepted,8
627,Laughing Gull,Larus atricilla,Lord Howe Island ,NSW,1/12/2010,,Accepted,9
926,Laughing Gull,Larus atricilla,Venus Bay,SA,7/21/2016,,Accepted,10
1156,Laughing Gull,Larus atricilla,Warraber Island,QLD,12/1/2004,Submission,Accepted,11
1293,Laughing Gull,Larus atricilla ,Carins,QLD,02-07/10/2023,Submission,Accepted,12
130,Laysan Albatross,Phoebastria immutabilis,"Headstone, Norfolk Island",NI,Aug-89,,Accepted,1
48,Leach's Storm-Petrel,Hydrobates leuchorhoa,Freemantle,WA,May-79,,Accepted,1
888,Leach's Storm-Petrel,Hydrobates leuchorhoa,North-West Shelf,WA,9/9/2015,,Not Accepted,x
947,Leach's Storm-Petrel,Hydrobates leuchorhoa,off Southport,QLD,6/28/2015,,Accepted,2
992,Leach's Storm-Petrel,Hydrobates leuchorhoa,Tower Hill,VIC,7/4/1965,,Accepted,3
745,Least Sandpiper,Calidris minutilla,Tuross Estuary,NSW,1/24/2011,,Not Accepted,x
56,Lemon-bellied Flyrobin,Microeca flavigaster,Mt Disappointment,VIC,12/5/1982,,Not Accepted,x
25,Lesser Black-backed Gull,Larus fuscus,Melville Island,NT,10/27/1974,,Not Accepted,x
771,Lesser Black-backed Gull,Larus fuscus fuscus,Cocos (Keeling) Islands,IOT,9/30/1959,,Accepted,1
783,Lesser Black-backed Gull,Larus fuscus fuscus,Broome,WA,1/16/2013,,Accepted,2
484,Lesser Coucal,Centropus bengalensis,Ashmore Reef,WA,10/29/2005,,Accepted,1
995,Lesser Moorhen,Paragallinula angulata,Cocos (Keeling) Islands,IOT,6-22-Feb-18,,Accepted,1
1243,Lesser Sand-Plover,Charadrius mongolus atrifrons,Eighty Mile Beach,WA,2/14/2017,Submission,Not Accepted,x
60,Lesser Yellowlegs,Tringa flavipes,Geelong,VIC,Jan-Mar 1983,,Accepted,1
190,Lesser Yellowlegs,Tringa flavipes,Werribee,VIC,4/9/1995,,Accepted,2
192,Lesser Yellowlegs,Tringa flavipes,Bundaberg,QLD,3/18/1995,,Not Accepted,x
284,Lesser Yellowlegs,Tringa flavipes,Norfolk Island ,NI,12/13/1999,,Not Accepted,x
325,Lesser Yellowlegs,Tringa flavipes,"Ash Island, Newcastle ",NSW,9/14/2001,,Accepted,3
470,Lesser Yellowlegs,Tringa flavipes,Fraser Island ,QLD,9/22/2003,,Not Accepted,x
479,Lesser Yellowlegs,Tringa flavipes,Lake Gladstone ,WA,9/18/2005,,Not Accepted,x
550,Lesser Yellowlegs,Tringa flavipes,Jerseyville  ,NSW,10/28/2007,,Accepted,4
1165,Lesser Yellowlegs,Tringa flavipes,"Ash Island, Newcastle ",NSW,24-Sep-20 to 25-Sep-20,Submission,Accepted,5
173,Light-mantled Albatross,Phoebetria palpebrata,off Storm Bay,TAS,8/5/1993,,Accepted,1
969,Little Egret,Egretta garzetta garzetta,Christmas Island ,IOT,12/18/2016,,Accepted,1
634,Little Paradise Kingfisher,Tanysiptera hydrocharis,"Saibai Island, Torres Strait",QLD,1/13/2010,,Accepted,1
103,Little Ringed Plover,Charadrius dubius,Cocklebiddy,WA,11/2/1985,,Accepted,1
149,Little Ringed Plover,Charadrius dubius,Granton,TAS,3/29/1982,,Accepted,2
155,Little Ringed Plover,Charadrius dubius,Lake Cogolup,WA,2/2/1992,,Accepted,3
158,Little Ringed Plover,Charadrius dubius,Fitzroy Crossing,WA,1/10/1992,,Accepted,4
236,Little Ringed Plover,Charadrius dubius,Tinnaroo Dam ,QLD,Oct-97,,Accepted,5
252,Little Ringed Plover,Charadrius dubius,Broome ,WA,8/24/1998,,Accepted,6
253,Little Ringed Plover,Charadrius dubius,Darwin ,NT,10/8/1998,,Accepted,7
256,Little Ringed Plover,Charadrius dubius,Lake Bibra ,WA,12/30/1998,,Accepted,8
279,Little Ringed Plover,Charadrius dubius,"Taylors Lagoon, Broome ",WA,8/29/1998,,Accepted,9
280,Little Ringed Plover,Charadrius dubius,Rottnest Island ,WA,11/21/1999,,Accepted,10
413,Little Ringed Plover,Charadrius dubius,Gracemere Lagoon ,QLD,10/11/2003,,Accepted,11
10,Little Stint,Calidris minuta,Werribee Treatment Plant,VIC,1/15/1977,,Accepted,1
14,Little Stint,Calidris minuta,Werribee Treatment Plant,VIC,1/22/1977,,Accepted,2
98,Little Stint,Calidris minuta,Moulting Lagoon,TAS,10/23/1980,,Accepted,3
104,Little Stint,Calidris minuta,Eyre,WA,9/18/1984,,Accepted,4
326,Little Stint,Calidris minuta,Lake McLarty ,WA,12/2/2001,,Accepted,5
423,Little Stint,Calidris minuta,Lake Macleod ,WA,3/22/2004,,Accepted,6
482,Little Stint,Calidris minuta,Lake Murphy ,VIC,4/18/2006,,Accepted,7
574,Little Stint,Calidris minuta,Werribee Treatment Plant,VIC,7/13/2008,,Accepted,8
632,Little Stint,Calidris minuta,Broome ,WA,12/17/2009,,Accepted,9
653,Little Stint,Calidris minuta,Woorinen,VIC,11/2/2009,,Accepted,10
665,Little Stint,Calidris minuta,Price Saltfields,SA,3/30/2006,,Accepted,11
666,Little Stint,Calidris minuta,Dry Creek Saltfields,SA,12/28/2008,,Accepted,12
667,Little Stint,Calidris minuta,Dry Creek Saltfields,SA,10/3/2008,,Accepted,13
668,Little Stint,Calidris minuta,Dry Creek Saltfields,SA,10/21/2010,,Accepted,14
685,Little Stint,Calidris minuta,Cocos (Keeling) Islands,IOT,12/5/2010,,Not Accepted,x
746,Little Stint,Calidris minuta,Tuross Estuary,NSW,3/5/2012,,Not Accepted,x
1025,Little Stint,Calidris minuta,Cocos (Keeling) Islands,IOT,22 & 25-Jul-14,Submission,Accepted,15
997,Long-billed Dowitcher,Limnodromus scolopaceus ,Lake Tutchewop,VIC,7-Nov-14 - 5-Jan-15,,Accepted,1
39,Long-tailed Cuckoo,Urodynamys taitensis,Darwin,NT,5/27/1980,,Not Accepted,x
514,Long-tailed Cuckoo,Urodynamys taitensis,Townsville ,QLD,1/10/2007,,Not Accepted,x
517,Long-tailed Cuckoo,Urodynamys taitensis,Norfolk Island ,NI,1/6/2007,,Not Accepted,x
593,Long-tailed Cuckoo,Urodynamys taitensis,Tyron Island ,QLD,9/14/2007,,Not Accepted,x
807,Long-tailed Cuckoo,Urodynamys taitensis,Lord Howe Island,NSW,12/2/2010,,Accepted,1
1072,Long-tailed Cuckoo,Urodynamys taitensis,Norfolk Island,NI,12/20/2018,Submission,Accepted,2
765,Long-tailed Honey-Buzzard,Henicopernis longicauda,"Dauan Island, Torres Strait ",QLD,10/20/2012,,Not Accepted,x
1144,Long-tailed Honey-Buzzard,Henicopernis longicauda,"Saibai Island, Torres Strait",QLD,3/13/2020,Submission,Accepted,1
57,Long-tailed Jaeger,Stercorarius longicaudus,Michaelmas Cay,QLD,3/4/1983,,Withdrawn,x
58,Long-tailed Jaeger,Stercorarius longicaudus,Darwin,NT,3/14/1983,,Withdrawn,x
503,Long-tailed Koel,Urodynamys taitensis,Near Cairns ,QLD,4/11/2000,,Not Accepted,x
504,Long-tailed Koel,Urodynamys taitensis,Near Kairi ,QLD,8/6/2004,,Not Accepted,x
854,Macaroni Penguin,Eudyptes chrysolophus,Macquarie Island,TAS,11/14/2014,Submission,Accepted,x
1149,Macaroni Penguin,Eudyptes chrysolophus,Macquarie Island,TAS,1/5/2014,Submission,Accepted,1
1208,Macaroni Penguin,Eudyptes chrysolophus,Macquarie Island,TAS,11/17/2018,Submission,Accepted,3
1290,MacGillivray's Prion,Pachytila macgillivrayi,Macquarie Island,TAS,2018/2019,,Under review,
7,Magellanic Penguin,Spheniscus megllanicus,Phillip Island,VIC,3/31/1976,,Accepted,1
1104,Magenta Petrel,Pterodroma magentae,Britannia Seamount,NSW/QLD,4-May-09 to 19-Sep-12,Submission,Accepted,1
345,Malay Night-heron,Gorsachius melanolophus ,Chistmas Island,IOT,3/7/2002,,Accepted,1
569,Malayan Night-Heron,Gorsachius melanolophus ,Chistmas Island,IOT,3/9/2008,,Not Accepted,x
735,Malayan Night-Heron,Gorsachius melanolophus,Chistmas Island,IOT,1/6/2012,,Accepted,2
