Case No.,IOC English name,Scientific name,Location,State/Territory,Sighting Date,Submission,Decision,Acceptance tally
531,Asian House Martin,Delichon dasypus,Chistmas Island,IOT,3/4/2007,,Accepted,4
565,Asian House Martin,Delichon dasypus,Chistmas Island,IOT,1/13/2008,,Accepted,5
573,Asian House Martin,Delichon dasypus,Chistmas Island,IOT,4/23/2008,,Accepted,6
618,Asian House Martin,Delichon dasypus,Chistmas Island,IOT,11/23/2009,,Accepted,7
972,Asian House Martin,Delichon dasypus ,Christmas Island,IOT,10-13-Dec-16,,Accepted,8
1129,Asian House Martin,Delichon dasypus ,Cocos (Keeling) Islands,IOT,6-Dec-19 to 8-Jan-20,Submission,Accepted,9
436,Asian Koel,Eudynamys scolopaceus,Chistmas Island,IOT,7/14/2004,,Accepted,1
616,Asian Koel,Eudynamys scolopaceus,Cocos (Keeling) Islands,IOT,11/20/2007,,Accepted,4
635,Asian Koel,Eudynamys scolopaceus,Chistmas Island,IOT,8/10/2004,,Accepted,3
637,Asian Koel,Eudynamys scolopaceus,Chistmas Island,IOT,8/25/2005,,Accepted,5
643,Asian Koel,Eudynamys scolopaceus,Chistmas Island,IOT,11/23/2007,,Accepted,2
1088,Asian Koel,Eudynamys scolopaceus,Barrow Island,WA,09-19-Jun-19,Submission,Accepted,6
1281,Asian Stubtail,Urosphena squameiceps,Ashmore Reef,WA,4/24/2012,Submission,Accepted,1
457,Atlantic Petrel,Pterodroma incerta,off Port Fairy ,VIC,2/6/2005,,Accepted,1
715,Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,off Wollongong,NSW,8/24/1986,,Accepted,1
716,Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,Torquay,VIC,8/12/1978,,Not Accepted,x
717,Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,Portland,VIC,9/4/1994,,Accepted,2
841,Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,off Albany,WA,5/4/2013,,Not Accepted,x
849,Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,off Wollongong,NSW,7/26/2014,,Accepted,3
850,Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,off Wollongong,NSW,8/23/2014,,Accepted,4
931,Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,Perth Canyon,WA,8/21/2016,,Accepted,5
1013,Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,off Albany ,WA,5/5/2018,Submission,Accepted,6
1022,Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,Cape Naturaliste,WA,4/22/2018,Submission,Accepted,7
1186,Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,Perth Canyon,WA,5/18/2019,Submission,Accepted,8
1279,Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,off Lakes Entrance,VOC,4/12/2023,Submission,Accepted,9
179,Baikal Teal,Anas formosa,Beatrice Hill Lagoon,NT,10/17/1993,,Not Accepted,x
1017,Baird's Sandpiper,Calidris bairdii,Lake McLarty,WA,12/15/2016,Submission,Accepted,5
65,Baird’s Sandpiper,Calidris bairdii,Waratah Bay,VIC,9/15/1984,,Not Accepted,x
74,Baird’s Sandpiper,Calidris bairdii,Palmerston,NT,10/28/1983,,Accepted,1
99,Baird’s Sandpiper,Calidris bairdii,Eyre,WA,3/7/1979,,Accepted,2
100,Baird’s Sandpiper,Calidris bairdii,Botany Bay,NSW,11/23/1976,,Not Accepted,x
102,Baird’s Sandpiper,Calidris bairdii,North Stradbroke Island,QLD,10/22/1979,,Withdrawn,x
182,Baird’s Sandpiper,Calidris bairdii,Buckland Park Lake,SA,1/2/1987,,Accepted,3
185,Baird’s Sandpiper,Calidris bairdii,Lake Connewarre,VIC,2/8/1986,,Accepted,4
254,Baird’s Sandpiper,Calidris bairdii,McGraths Hill ,NSW,10/5/1998,,Not Accepted,x
412,Baird’s Sandpiper,Calidris bairdii,Coombabah ,QLD,11/5/2003,,Not Accepted,x
764,Baird’s Sandpiper,Calidris bairdii,Tuross Estuary,NSW,7/9/2012,,Not Accepted,x
971,Band-rumped Storm-Petrel,Hydrobates castro,Britannia Seamount,NSW,4/9/2016,,Accepted,1
1124,Band-rumped Storm-Petrel,Hydrobates castro,between Newcastle and Lord Howe ,NSW,2/27/2020,Submission,Accepted,2
1190,Band-rumped Storm-Petrel,Hydrobates castro,Britannia Seamount,NSW,3/29/2020,Submission,Accepted,3
1212,Band-rumped Storm-Petrel,Hydrobates castro,Queensland Seamounts,QLD,3/13/2021,Submission,Accepted,4
1213,Band-rumped Storm-Petrel,Hydrobates castro,Brittania Seamount,NSW,3/14/2021,Submission,Accepted,5
1280,Band-rumped Storm-Petrel,Hydrobates castro,Queensland Seamount,QLD,3/5/2023,Submission,Accepted,6
1288,Band-rumped Storm-Petrel,Hydrobates castro,Brittania Seamount,NSW,1-3/04/2023,Submission,Accepted,7
1302,Band-rumped Storm-Petrel,Hydrobates castro,at sea 160nm off Cape Byron,NSW,2/25/2024,,Under review,
360,Bar-tailed Cuckoo-Dove,Macropygia nigrirostris ,"Darnley Island, Torres Strait",QLD,8/27/2002,,Not Accepted,x
41,Barau's Petrel,Pterodroma baraui,Venus Bay,Vic,8/21/1981,,Not Accepted,x
115,Barau's Petrel,Pterodroma baraui,off western Victoria,VIC,2/15/1987,,Accepted,1
785,Barau's Petrel,Pterodroma baraui,off Sydney,NSW,2/9/2013,,Accepted,2
966,Barau's Petrel,Pterodroma baraui,Bremer Canyon,WA,2/17/2015,,Accepted,3
967,Barau's Petrel,Pterodroma baraui,Bremer Canyon,WA,2/4/2017,,Accepted,4
981,Barau's Petrel,Pterodroma baraui,Cocos (Keeling) Islands,IOT,3/17/2017,,Accepted,5
989,Barau's Petrel,Pterodroma baraui,Bremer Canyon,WA,1/15/2018,,Accepted,6
1046,Barau's Petrel,Pterodroma baraui,off Cape Leeuwin,WA,1/14/2016,Submission,Accepted,6
1091,Barau's Petrel,Pterodroma baraui,Cape Naturaliste,WA,11/1/2019,Submission,Accepted,8
1110,Barau's Petrel,Pterodroma baraui,Bremer Canyon,WA,2/3/2020,Submission,Accepted,9
1125,Barau's Petrel,Pterodroma baraui,Bremer Canyon,WA,2/21/2020,Submission,Accepted,10
1128,Barau's Petrel,Pterodroma baraui,Bremer Canyon,WA,2/27/2020,Submission,Accepted,11
1196,Barau's Petrel,Pterodroma baraui,Bremer Canyon,WA,1/9/2020,Submission,Accepted,12
1197,Barau's Petrel,Pterodroma baraui,Bremer Canyon,WA,3/3/2020,Submission,Accepted,13
1230,Barau's Petrel,Pterodroma baraui,Bremer Canyon,WA,2/26/2019,Submission,Accepted,14
1231,Barau's Petrel,Pterodroma baraui,Bremer Canyon,WA,1/23/2021,Submission,Accepted,15
1232,Barau's Petrel,Pterodroma baraui,Bremer Canyon,WA,1/24/2021,Submission,Accepted,16
1233,Barau's Petrel,Pterodroma baraui,Bremer Canyon,WA,2/11/2021,Submission,Accepted,17
1234,Barau's Petrel,Pterodroma baraui,Bremer Canyon,WA,2/16/2021,Submission,Accepted,18
1235,Barau's Petrel,Pterodroma baraui,Bremer Canyon,WA,2/25/2021,Submission,Accepted,18
1236,Barau's Petrel,Pterodroma baraui,Bremer Canyon,WA,1/6/2022,Submission,Accepted,20
1237,Barau's Petrel,Pterodroma baraui,Bremer Canyon,WA,1/16/2022,Submission,Accepted,21
1238,Barau's Petrel,Pterodroma baraui,Bremer Canyon,WA,1/17/2022,Submission,Accepted,22
1239,Barau's Petrel,Pterodroma baraui,Bremer Canyon,WA,2/14/2022,Submission,Accepted,23
1240,Barau's Petrel,Pterodroma baraui,Bremer Canyon,WA,3/9/2022,Submission,Accepted,24
1241,Barau's Petrel,Pterodroma baraui,Bremer Canyon,WA,3/7/2021,Submission,Accepted,25
2,Barn Swallow,Hirundo rustica,Canungra,QLD,12/26/1974,,Accepted,1
584,Beach Kingfisher,Todiramphus saurophagus ,Holloways Beach ,QLD,1/17/2009,,Not Accepted,x
489,Beck's Petrel,Pterodroma beckii,Coral Sea ,QLD,11/7/2005,,Not Accepted,x
406,Black Petrel,Procellaria parkinsoni,off Southport ,QLD,11/15/2003,,Accepted,1
664,Black Petrel,Procellaria parkinsoni,off Southport,QLD,10/30/2010,,Accepted,2
78,Black Tern,Chlidonias niger,The Entrance,NSW,9/18/1958,,Accepted,1
