ORAC Case,BARC Case,IOC English name,Scientific name,Location,Date,Decision
123,,Red Goshawk,Erythrotriorchis radiatus,"Burringbar Range, via Murwillumbah",22 Sep 1993,Accepted
124,,Black Noddy,Anous minutus,"Lighthouse Beach, Port Macquarie",26 Jan 1994,Accepted
125,,White-necked Petrel,Pterodroma cervicalis,off Wollongong,23 Jan 1994,Accepted
126,,Westland Petrel,Procellaria westlandica,"Gillards Beach, Tathra",6 Jan 1993,Accepted
127,,Eastern Yellow Wagtail,Motacilla tschutschensis,Kooragang Island,21 Feb 1993,Accepted
128,175,Greater Yellowlegs,Tringa melanoleuca,Pitt Town Lagoon,9 Oct 1993,Not accepted
129,174,Pheasant-tailed Jacana,Hydrophasianus chirurgus,Murwillumbah,17 Aug 1993,Not accepted
130,,Common Diving Petrel,Pelecanoides urinatrix,off Wollongong,23 Apr 1993,Accepted
131,,Lesser Crested Tern,Thalasseus bengalensis,"Long Reef, Sydney ",31 May 1993,Not accepted
132,,Arctic Tern,Sterna paradisaea,off Wollongong,27 Jun 1993,Accepted
133,,Royal Albatross,Diomedea epomophora (sensu lato),off Wollongong,20 Oct 1993,Accepted
134,,Red-tailed Tropicbird,Phaethon rubricauda,Grafton,8 Dec 1993,Accepted
135,,Garganey,Anas querquedula,"Market Swamp, Sandgate",4 Dec 1993,Accepted
136,,Red-footed Booby,Sula sula,Port Kembla,3 Jan 1994,Accepted
137,,White-necked Petrel,Pterodroma cervicalis,off Wollongong,28 Feb 1993,Accepted
138,,Streaked Shearwater,Calonectris leucomelas,off Wollongong,27 Feb 1994,Accepted
139,,Black Noddy,Anous minutus,Pittwater,22 Mar 1994,Not accepted
140,,Brown Booby,Sula leucogaster,off Wollongong,15 Nov 1990,Accepted
141,,Double-eyed Fig Parrot,Cyclopsitta diophthalma,Huonbrook,16 Apr 1992,Accepted
142,,Long-toed Stint,Calidris subminuta,"Fivebough Swamp, Leeton",7 Aug 1993,Accepted
143,,Grey-fronted Honeyeater,Ptilotula plumula,Glen Davis,24 Apr 1994,Not accepted
144,,Black-breasted Buzzard,Hamirostra melanosternon,between Hay & Narrandera,14 Jun 1994,Not accepted
145,,Red-backed Buttonquail,Turnix maculosus,"Rotary Park, Lismore",15 Mar 1993,Accepted
146,,Double-eyed Fig Parrot,Cyclopsitta diophthalma,"Cambridge Plateau, Richmond Range",29 Jan 1994,Not accepted
147,,Grey-backed Storm Petrel,Garrodia nereis,off Wollongong,24 Jul 1994,Accepted
148,,Light-mantled Sooty Albatross,Phoebetria palpebrata,off Wollongong,28 Sep 1994,Accepted
149,,Red-necked Phalarope,Phalaropus lobatus,off Wollongong,4 Oct 1994,Not Confirmed (not assessed)
150,,Oriental Plover,Charadrius veredus,Worronora Heights,1 Oct 1994,Accepted
151,,Arctic Tern,Sterna paradisaea,Evans Head,7 Oct 1994,Accepted
152,,Australian Raven,Corvus coronoides,Evans Head,5 Oct 1994,Accepted
153,,Brown Booby,Sula leucogaster,Seal Rocks,1 Jul 1993,Accepted
154,,White-chinned Petrel,Procellaria aequinoctialis,off Wollongong,25 Sep 1994,Accepted
155,,Black Noddy,Anous minutus,Iluka,4 Dec 1994,Accepted
156,,Kerguelen Petrel,Lugensa brevirostris,off Wollongong,3 Aug 1994,Not accepted
157,,Bridled Tern,Onychoprion anaethetus,off Wollongong,27 Nov 1994,Accepted
