ORAC Case,BARC Case,IOC English name,Scientific name,Location,Date,Decision
627,,Little Curlew,Numenius minutus,Stockton Sandspit,21 Sep 2014,Not accepted
628,795,Tristan Albatross ,Diomedea dabbenena,off Wollongong,5 Oct 1997,Accepted
629,806,New Zealand Storm Petrel,Fregetta maoriana,off Swansea,14 Apr 2013,Accepted
630,807,Long-tailed Cuckoo,Urodynamis taitensis,Lord Howe Island,2 Dec 2010,Accepted
631,808,Buff-breasted Sandpiper,Tryngites subruficollis,Hexam Swamp,18 Jan 2014,Accepted
632,818,White Wagtail,Motacilla alba,Newry Bar,4 Dec 2013,Accepted
633,,Little Curlew,Numenius minutus,Hexham Swamp ,30 Nov 2014,Accepted
634,,Cook's Petrel,Pterodroma cookii,off Swansea,4 Dec 2014,Accepted
635,,Blue Petrel,Halobaena caerulea,off Wollongong,6 Sep 2014,Accepted
636,,Northern Royal Albatross,Diomedea (e.) sanfordi,off Wollongong,6 Sep 2014,Accepted
637,,Long-toed Stint,Calidris subminuta,Kooragang Island,22 Nov 2014,Accepted
638,,Great Frigatebird,Fregata minor,Newcastle  ,7 Jan 2015,Accepted
639,,Grey-headed Albatross,Thalassarche chrysostoma,Stockton Beach ,13 Jun 2014,Accepted
640,,Southern Fulmar,Fulmarus glacialoides,Minnie Water ,6 Sep 2003,Accepted
641,,Pink Robin,Petroica rodinogaster,Llandilo ,7 Jun 2015,Accepted
642,839,Arctic Warbler,Phylloscopus borealis,Arncliffe,29 Jun 2011,Not accepted
643,849,Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,off Wollongong,26 Jul 2014,Accepted
644,850,Atlantic Yellow-nosed Albatross,Thalassarche chlororhynchos,off Wollongong,23 Aug 2014,Accepted
645,855,Citrine Wagtail,Motacilla citreola,"Putta Bucca Wetlands, Mudgee",24 Aug 2014,Accepted
646,876,South Island Pied Oystercatcher,Haematopus finschi,Sydney Harbour,1 Mar 2015,Accepted
647,853,South Island Pied Oystercatcher,Haematopus finschi,Tuckers Rocks,5 Jan 2015,Accepted
648,884,White-rumped Sandpiper,Calidris fuscicollis,Lake Wollumboola,5 Jan 2015,Accepted
649,895,Paradise Shelduck,Tadorna variegata,Lake Wollumboola,27 Dec 2015,Accepted
650,896,Hudsonian Godwit,Limosa haemastica,Lake Wollumboola,23 Dec 2015,Accepted
651,897,Western Sandpiper,Calidris mauri,Lake Wollumboola,17 Dec 2015,Not accepted
652,,Red-backed Buttonquail,Turnix maculosus,Tuncurry  ,27 Feb 2015,Accepted
653,,Red-necked Phalarope,Phalaropus lobatus,"Flat Rock Beach, Ballina",3 Mar 2016,Accepted
654,,Eyrean Grasswren,Amytornis goyderi,Winnathee Station  ,3 Apr 2016,Accepted
655,,Banded Honeyeater,Cissomela pectoralis,Winnathee Station  ,5 Apr 2016,Accepted
656,,Torresian Imperial Pigeon,Ducula spilorrhoa,Palm Beach ,10 Jun 2016,Accepted
657,,Little Shearwater,Puffinus assimilis,South Ballina Beach ,6 Aug 2016,Accepted
658,,Salvin's Albatross,Thalassarche salvini,off Kiama ,25 Jun 2016,Accepted
659,,Little Shearwater,Puffinus assimilis,Norah Head ,7 Jun 2016,Accepted
660,,Pied Heron,Egretta picata,Lake Cargelligo ,8 Nov 2016,Accepted
661,,Little Curlew,Numenius minutus,near Ballina ,12 Nov 2016,Accepted
662,,Little Curlew,Numenius minutus,Eastlakes Golf Course ,9 Dec 2016,Accepted
663,894,Westland Petrel,Procellaria westlandica,Byron Bay,13 Jan 2016,Accepted
664,,Red-backed Buttonquail,Turnix maculosus,Ellenborough ,12 Dec 2016,Accepted
665,,Kerguelen Petrel,Lugensa brevirostris,Callala Bay ,5 Jun 2016,Accepted
666,,Grey-backed Storm Petrel,Garrodia nereis,off Kiama ,24 Jul 2016,Accepted
667,,Red-necked Phalarope,Phalaropus lobatus,Lord Howe Island  ,19 Jan 2017,Accepted
668,,Red-backed Buttonquail,Turnix maculosus,Dilkoon  ,19 Jan 2017,Accepted
669,,Pied Heron,Egretta picata,Lake Coolah ,29 Dec 2016,Accepted
670,,Red-footed Booby,Sula sula,off Forster  ,12 Mar 2016,Accepted
671,,Light-mantled Sooty Albatross,Phoebetria palpebrata,"North Head, Sydney  ",19 Mar 2017,Accepted
672,,Pied Heron,Egretta picata,Condobolin  ,21 Feb 2017,Accepted
673,,Oriental Pratincole,Glareola maldivarum,Hexham Swamp ,22 Sep 2017,Accepted
674,,Little Shearwater,Puffinus assimilis,Lennox Head ,12 Jun 2017,Accepted
675,,Scarlet-chested Parrot,Neophema splendida,south of Broken Hill ,24 Oct 2010,Accepted
676,,Oriental Plover,Charadrius veredus,Hexham Swamp ,22 Sep 2017,Accepted
677,,Pied Heron,Egretta picata,Macquarie Marshes,17 Jan 2017,Accepted
678,,Pied Heron,Egretta picata,Lowbidgee Wetlands,31 Jan 2017,Accepted
679,,Little Curlew,Numenius minutus,Hexham Swamp ,29 Sep 2017,Accepted
680,,Soft-plumaged Petrel,Pterodroma mollis,off Port Stephens,15 Oct 2017,Accepted
681,,Pale-vented Bush-hen,Amaurornis moluccana,near Beechwood ,21 Nov 2017,Accepted
682,918,White-bellied Storm Petrel,Fregetta grallaria,Britannia Seamount,9 Apr 2016,Accepted
683,,Salvin's Albatross,Thalassarche salvini,off Kiama ,9 Oct 2017,Not accepted
684,,Mottled Petrel,Pterodroma inexpectata,off Port Stephens,12 Nov 2017,Accepted
685,,Little Shearwater,Puffinus assimilis,off Port Stephens,12 Nov 2017,Accepted
686,,Common Gull-billed Tern,Gelochelidon nilotica,Shoalhaven Heads ,4 Nov 2017,Accepted
687,,Common Gull-billed Tern,Gelochelidon nilotica,Stockton Sandspit,30 Dec 2017,Accepted
688,,Shining Flycatcher,Myiagra alecto,Cobaki Broadwater ,11 Sep 2017,Accepted
689,,Little Shearwater,Puffinus assimilis,Maroubra  ,15 Jan 2018,Not accepted
690,,Black-winged Petrel,Pterodroma nigripennis,off Crowdy Head  ,19 Jan 2018,Accepted
691,,Common Gull-billed Tern,Gelochelidon nilotica,"Micalo Island, Yamba  ",14 Feb 2018,Accepted
692,,Southern Royal Albatross,Diomedea (e.) epomophora,off Port Macquarie  ,7 Mar 2018,Accepted
693,,Red-footed Booby,Sula sula,Port Macquarie ,13 May 2018,Accepted
694,,Grey-headed Albatross,Thalassarche chrysostoma,Terrigal ,17 May 2000,Accepted
695,,Soft-plumaged Petrel,Pterodroma mollis,off Lord Howe Island ,17 May 2018,Accepted
696,,Grey Falcon,Falco hypoleucos,Wyndham ,20 May 2018,Not accepted
697,,Grey-headed Albatross,Thalassarche chrysostoma,off Kiama ,26 May 2018,Accepted
698,,Grey-backed Storm Petrel,Garrodia nereis,off Kiama ,28 Apr 2018,Accepted
699,,Little Shearwater,Puffinus assimilis,Ulladulla ,21 Jun 2018,Not accepted
700,,Sooty Albatross,Phoebetria fusca,off Lord Howe Island ,23 Jun 2018,Accepted
701,,Salvin's Albatross,Thalassarche salvini,off Lord Howe Island ,23 Jun 2018,Accepted
702,,Grey-backed Storm Petrel,Garrodia nereis,off Kiama ,23 Jun 2018,Accepted
703,,Cook's Petrel,Pterodroma cookii,off Kiama ,28 Oct 2017,Accepted
704,,Cook's Petrel,Pterodroma cookii,off Kiama ,6 Jan 2018,Accepted
705,,Orange Chat,Epthianura aurifrons,Tullakool Saltworks,13 Oct 2018,Accepted
706,,Common Gull-billed Tern,Gelochelidon nilotica,Stockton Beach ,10 Aug 2018,Accepted
707,,Red-backed Buttonquail,Turnix maculosus,Limeburners Creek NP,23 Nov 2018,Accepted
708,889,White-bellied Storm Petrel,Fregetta grallaria,Britannia Seamount,18 Mar 2015,Accepted
709,960,White-bellied Storm Petrel,Fregetta grallaria,off Sydney,11 Mar 2017,Accepted
710,965,Cook's Petrel,Pterodroma cookii,off Port Stephens,27 Nov 2016,Accepted
711,971,Band-rumped Storm Petrel,Hydrobates castro,Britannia Seamount,9 Apr 2016,Accepted
712,984,Cook's Petrel,Pterodroma cookii,off Port Stephens,12 Nov 2017,Accepted
713,985,Ringed Plover,Charadrius hiaticula ,Stockton Beach,25 Aug 2017,Accepted
714,987,Juan Fernandez Petrel,Pterodroma externa,off Wollongong,10 Aug 1985,Accepted
715.1,1001a,Aleutian Tern,Onychoprion aleuticus,"Farquhar Inlet, ",4 Dec 2016,Accepted
715.2,1001b,Aleutian Tern,Onychoprion aleuticus,"Farquhar Inlet, ",11 Dec 2017,Accepted
716,1006,Hudsonian Godwit,Limosa haemastica,Lake Wollumboola,1 Jul 2018,Accepted
717,1007,Grey-headed Lapwing,Vanellus cinereus,Penrith Lakes,5 Sep 2018,Accepted
718,,Grey-headed Albatross,Thalassarche chrysostoma,off Port Stephens,22 Jun 2008,Accepted
719,,South Polar Skua ,Stercorarius maccormicki,off South West Rocks,30 Aug 2018,Accepted
720,,Cook's Petrel,Pterodroma cookii,off Crowdy Head  ,20 Jan 2019,Accepted
721,,Grey Wagtail,Motacilla cinerea,Coopers Creek between Huonbrook and Wanganui ,6 Mar 2019,Accepted
722,,Pied Heron,Egretta picata,Pambula Lake,4 Feb 2019,Accepted
723,,South Polar Skua,Stercorarius maccormicki,off Forster  ,4 Apr 2019,Accepted
724,,Mottled Petrel,Pterodroma inexpectata,"MM Beach, Port Kembla",5 Apr 2019,Accepted
725,,Dusky Honeyeater,Myzomela obscura,Tomewin,19 Dec 2018,Accepted
726,,South Polar Skua,Stercorarius maccormicki,Bulli Beach,28 Feb 2019,Accepted
727,,Little Curlew,Numenius minutus,South West Rocks  ,28 Sep 2018,Not accepted
728,,Little Shearwater,Puffinus assimilis,Cape Solander,22 Jun 2019,Not accepted
729,1096,Northern Shoveler,Anas clypeata,"Fivebough Swamp, Leeton",29 Jul 2019,Accepted
730,,Red-backed Buttonquail,Turnix maculosus,west of Somersby,24 Nov 2018,Accepted
731,,Nortthern Royal Albatross,Diomedea (e.) sanfordi,off Kiama,11 Sep 2019,Accepted
732,,Cook's Petrel,Pterodroma cookii,off Sydney,12 Oct 2019,Accepted
733,,Cook's Petrel,Pterodroma cookii,off Sydney,16 Oct 2019,Accepted
734,,Fairy Tern,Sternula nereis,"Boat Harbour, Kurnell",12 Nov 2019,Accepted
735,,Torresian Imperial Pigeon,Ducula spilorrhoa,Coff's Harbour Cemetary,3 Nov 2019,Accepted
736,,Little Curlew,Numenius minutus,Oran Park,9 Nov 2019,Accepted
737,,Soft-plumaged Petrel,Pterodroma mollis,off Sydney,8 Jun 2019,Accepted
738,,Southern Royal Albatross,Diomedia epomophora,off Wollongong,27 May 2006,Accepted
739,,Blue Petrel,Halobaena caerulea,North Wollongong,5 Jul 2019,Accepted
740,,Black-winged Petrel,Pterodroma nigripennis,off Crowdy Head  ,17 Nov 2019,Accepted
741,1050,New Zealand Storm Petrel,Fregetta maoriana,off Crowdy Head  ,13 Jan 2019,Accepted
742,1066,Buff-breasted Sandpiper,Tryngites subruficollis,Jerseyville,24 Nov 2018,Accepted
743,1077,Rosy Starling,Pastor roseus,Gwandalan,12 Aug 2019,Accepted
744,1085,Hudsonian Godwit,Limosa haemastica,Blakehurst,25 Sep 2019,Accepted
745,1085,Semipalmated Plover,Charadrius semipalmatus,Shoalhaven Heads,2 Oct 2019,Accepted
746,1090,South Island Pied Oystercatcher,Haematopus finschi,Loila Lake,14 Oct 2019,Accepted
747,,Bulwer's Petrel,Bulweria bulwerii,off Point Danger,15 Dec 2019,Accepted
748,,Black-naped Tern,Sterna sumatrana,mouth of Sandon River,20 Jan 2020,Accepted
749,,Black-winged Petrel,Pterodroma nigripennis,off Kiama,28 Dec 2019,Accepted
750,,Black-naped Tern,Sterna sumatrana,"Arakoon, South West Rocks",7 Feb 2020,Accepted
751,,Bulwer's Petrel,Bulweria bulwerii,145NM off NSW coast,9 Mar 2020,Accepted
752,,Little Shearwater,Puffinus assimilis,Crowdy Head,28 Feb 2020,under review
753,,Roseate Tern,Sterna dougallii,"Farquhar Inlet, Old Bar",5 Jan 2020,under review
754,,Bulwer's Petrel,Bulweria bulwerii,Camden Head,10 Feb 2020,under review
755,,Bulwer's Petrel,Bulweria bulwerii,"Mistral Point, Maroubra",29 Jan 2020,under review
756,,Mottled Petrel,Pterodroma inexpectata,off Kiama ,26 Jan 2019,under review
757,1099,Kentish Plover,Charadrius alexandrinus,Towra Point,14 Dec 2019,under review
758,1102,Cook's Petrel,Pterodroma cookii,Britannia Seamount,5-6 Oct 2019,under review
759,1104,Magenta Petrel,Pterodroma magentae ,Britannia Seamount,2009-2012,under review
760,1105,Short-eared Owl,Asio flammeus,Port Botany,8 Dec 2019,under review
761,1107,Pycroft's Petrel,Pterodroma pycrofti,Newcastle,12 Oct 2002,under review
762,1108,Pycroft's Petrel,Pterodroma pycrofti,Broughton Island,25 Oct 2019,under review
763,1124,Band-rumped Storm Petrel,Hydrobates castro,Newcastle to Lord Howe Island,27 Feb 2020,under review
764,1132,South Island Pied Oystercatcher,Haematopus finschi,Hastings Point,6 Apr 2020,under review
765,,Swift Parrot,Lathamus discolor,Lord Howe Island,23 May 2020,under review
766,,Cook's Petrel,Pterodroma cookii,Narrabeen Lagoon,24 Dec 2019,under review
767,,Cook's Petrel,Pterodroma cookii,"Cronulla Beach, Boat Harbour",16 Feb 2020,under review
768,,Bulwer's Petrel,Bulweria bulwerii,Cronulla RSL Club,28 Jan 2020,under review
BARC,15,Eastern Yellow Wagtail,Motacilla tschutschensis,"Bakers Lagoon, Richmond",29 Apr 1979,Accepted
BARC,22,Citrine Wagtail,Motacilla citreola,Botany Bay,1 Jul 1962,Accepted
BARC,35,Western Sandpiper,Calidris mauri,Near Ivanhoe,11 May 1974,Not accepted
BARC,36,Western Sandpiper,Calidris mauri,Sydney,22 Nov 1978,Not accepted
BARC,40,Franklin's Gull,Leucophaeus pipixcan,Sydney Harbour,11 May 1981,Accepted
BARC,51,Herald Petrel,Pterodroma heraldica,off Sydney,30 Oct 1982,Accepted
BARC,61,Buff-breasted Sandpiper,Tryngites subruficollis,"Bakers Lagoon, Richmond",19 Dec 1982,Accepted
BARC,64,Herald Petrel,Pterodroma heraldica,off Ballina,19 May 1979,Accepted
BARC,66,Spotted Redshank,Tringa erythropus,Kooragang Island,9 Feb 1982,Not accepted
BARC,73,Cook's Petrel,Pterodroma cookii,off Sydney,25 May 1985,Not accepted
BARC,76,Sabine's Gull,Xema sabini,off Wollongong,23 Mar 1985,Accepted
BARC,78,Black Tern,Chlidonias niger,The Entrance,18 Sep 1958,Accepted
BARC,79,Black Tern,Chlidonias niger,Newcastle,13 Jan 1968,Accepted
BARC,81,Black Tern,Chlidonias niger,Wanaaring,xx May 1971,Not accepted
BARC,85,Asian Dowitcher,Limnodromus semipalmatus,Stockton Sandspit,6 Apr 1985,Accepted
BARC,89,White-rumped Sandpiper,Calidris fuscicollis,Pitt Town Lagoon,29 Oct 1977,Accepted
BARC,93,Red-necked Phalarope,Phalaropus lobatus,Guyra,29 Jan 1979,Accepted
BARC,94,Corncrake,Crex Crex,Randwick,14 Jun 1893,Accepted
BARC,95,White-eyed Buzzard,Butastur teesa,Lithgow,1 Nov 1889,Not accepted
BARC,97,Buff-breasted Sandpiper,Tryngites subruficollis,Kooragang Island,10 Mar 1979,Accepted
BARC,100,Baird's Sandpiper,Calidris bairdii,Botany Bay,23 Nov 1976,Not accepted
BARC,101,White-rumped Sandpiper,Calidris fuscicollis,Windang,31 Oct 1984,Accepted
BARC,107,Pink-footed Shearwater,Ardenna creatopus,off Wollongong,22 Mar 1986,Accepted
BARC,116,Kermadec Petrel,Pterodroma neglecta,off Sydney,22 Apr 1988,Withdrawn
BARC,148,Hudsonian Godwit,Limosa haemastica,Kooragang Island,26 Dec 1982,Accepted
BARC,199,House Swift,Apus nipalensis,Ballina,7 Mar 1995,Not accepted
BARC,206,Westland Petrel,Procellaria westlandica,off Sydney,xx Jun 1996,Withdrawn
BARC,233,American Golden Plover,Pluvialis dominica,Pitt Town Lagoon,xx Nov 1997,Not accepted
BARC,254,Baird's Sandpiper,Calidris bairdii,McGraths Hill ,27 Sep 1998,Not accepted
BARC,306,South Island Pied Oystercatcher,Haematopus finschi,"Patches Beach, Ballina",22 Jan 1999,Accepted
BARC,463,Northern Shoveler,Anas clypeata,Kempsey ,25 May 2004,Accepted
BARC,755,New Caledonian Storm Petrel,Fregetta sp. nov.,Britannia Seamount,15 Apr 2012,Accepted
BARC,837,Collared Petrel,Pterodroma brevipes,Britannia Seamount,13 04 2014,Accepted
BARC,982,Semipalmated Plover,Charadrius semipalmatus,"Airport Pond, Lord Howe Island",29 Mar 2017,Accepted
BARC,1050,New Zealand Storm Petrel,Fregetta maoriana,off Crowdy Head  ,13 Jan 2019,pending
No case,,Asian Dowitcher,Limnodromus semipalmatus,Narooma,10 Jan 2001,Not Confirmed (not assessed)
No case,,Asian Dowitcher,Limnodromus semipalmatus,Narooma,4 Jan 2002,Not Confirmed (not assessed)
No case,,Black Petrel,Procellaria parkinsoni,off Sydney,1 Nov 1997,Not Confirmed (not assessed)
No case,,Black Petrel,Procellaria parkinsoni,off Sydney,2 Nov 1997,Not Confirmed (not assessed)
No case,,Black Petrel,Procellaria parkinsoni,off Sydney,13 Dec 1997,Not Confirmed (not assessed)
No case,,Black Petrel,Procellaria parkinsoni,off Wollongong,24 Feb 1990,Not Confirmed (not assessed)
No case,,Black-bellied Storm Petrel,Fregetta tropica,off Norah Head,25 Oct 2003,Not Confirmed (not assessed)
No case,,Black-bellied Storm Petrel,Fregetta tropica,off Sydney,7 Jan 1997,Not Confirmed (not assessed)
No case,,Black-bellied Storm Petrel,Fregetta tropica,off Sydney,5 Oct 1997,Not Confirmed (not assessed)
No case,,Black-bellied Storm Petrel,Fregetta tropica,off Sydney,2 Nov 1997,Not Confirmed (not assessed)
No case,,Black-bellied Storm Petrel,Fregetta tropica,off Sydney,3 Oct 2001,Not Confirmed (not assessed)
No case,,Black-bellied Storm Petrel,Fregetta tropica,off Wollongong,20 Oct 1999,Not Confirmed (not assessed)
No case,,Black-bellied Storm Petrel,Fregetta tropica,off Wollongong,27 Dec 1999,Not Confirmed (not assessed)
No case,,Black-winged Petrel,Pterodroma nigripennis,off Batemans Bay,10 Jan 2003,Not Confirmed (not assessed)
No case,,Black-winged Petrel,Pterodroma nigripennis,off Batemans Bay,12 Dec 2003,Not Confirmed (not assessed)
No case,,Bulwer's Petrel,Bulweria bulwerii,off Wollongong,21 Sep 1997,Withdrawn
No case,,Bulwer's Petrel,Bulweria bulwerii,off Wollongong,5 Oct 1997,Withdrawn
No case,,Common Diving Petrel,Pelecanoides urinatrix,off Wollongong,28 Nov 1993,Not Confirmed (not assessed)
No case,,Common Redshank,Tringa totanus,"Long Reef, Sydney ",8 Jul 1996,Not Confirmed (not assessed)
No case,,Cook's Petrel,Pterodroma cookii,"Mistral Point, Maroubra",27 Jan 2019,Not Confirmed (not assessed)
No case,,Cory's Shearwater,Calonectris borealis,off Wollongong,11 Aug 2001,Not Confirmed (not assessed)
No case,,Cotton Pygmy Goose,Nettapus coromandelianus,northern Macquarie Marshes,10 Sep 1998,Not Confirmed (not assessed)
No case,,Elegant Parrot,Neophema elegans,Fowler's Gap,14 Apr 2018,Not Confirmed (not assessed)
No case,,Great Bowerbird,Chlamydera nuchalis,Iluka,11 Sep 1991,Not Confirmed (not assessed)
No case,,Great Frigatebird,Fregata minor,Lennox Head ,7 Mar 2004,Not Confirmed (not assessed)
No case,,Great Frigatebird,Fregata minor,Mona Vale Golf Course,20 Jul 2002,Not Confirmed (not assessed)
No case,,Great Shearwater,Ardenna gravis,off Sydney,4 Apr 1997,Withdrawn
No case,,Green Pygmy Goose,Nettapus pulchellus,"Loudens Lagoon, Macquarie Marshes",21 Oct 1998,Not Confirmed (not assessed)
No case,,Grey Ternlet,Procelsterna albivitta,off Sydney,18 Feb 1997,Not Confirmed (not assessed)
No case,,Grey Ternlet,Procelsterna albivitta,off Wollongong,27 Feb 1997,Not Confirmed (not assessed)
No case,,Grey-backed Storm Petrel,Garrodia nereis,off Eden,15 Aug 1999,Not Confirmed (not assessed)
No case,,Grey-backed Storm Petrel,Garrodia nereis,off Eden,26 Oct 2003,Not Confirmed (not assessed)
No case,,Grey-backed Storm Petrel,Garrodia nereis,off Eden,30 May 2004,Not Confirmed (not assessed)
No case,,Grey-backed Storm Petrel,Garrodia nereis,off Wollongong,3 Jul 1999,Not Confirmed (not assessed)
No case,,Grey-backed Storm Petrel,Garrodia nereis,off Wollongong,14 Aug 1999,Not Confirmed (not assessed)
No case,,Grey-backed Storm Petrel,Garrodia nereis,off Wollongong,25 Aug 2001,Not Confirmed (not assessed)
No case,,Grey-headed Albatross,Thalassarche chrysostoma,off Wollongong,11 May 1996,Not Confirmed (not assessed)
No case,,Grey-headed Albatross,Thalassarche chrysostoma,off Wollongong,23 Jul 1996,Not Confirmed (not assessed)
No case,,Grey-headed Albatross,Thalassarche chrysostoma,off Wollongong,4 Jul 1998,Not Confirmed (not assessed)
No case,,Grey-headed Albatross,Thalassarche chrysostoma,off Wollongong,29 Aug 1998,Not Confirmed (not assessed)
No case,,Herald Petrel,Pterodroma heraldica,off South West Rocks,31 Dec 1999,Not Confirmed (not assessed)
No case,,Herald Petrel,Pterodroma heraldica,off South West Rocks,8 Apr 2002,Not Confirmed (not assessed)
No case,,Jouanin's Petrel,Bulweria fallax,off Wollongong,27 Oct 2002,Not Confirmed (not assessed)
No case,,Kermadec Petrel,Pterodroma neglecta,Maroubra ,1 Dec 1998,Not Confirmed (not assessed)
No case,,Kermadec Petrel,Pterodroma neglecta,off Sydney,5 Oct 1997,Not Confirmed (not assessed)
No case,,Kermadec Petrel,Pterodroma neglecta,off Wollongong,1 Jul 1997,Not Confirmed (not assessed)
No case,,Kermadec Petrel,Pterodroma neglecta,off Wollongong,28 Feb 1999,Not Confirmed (not assessed)
No case,,Light-mantled Sooty Albatross,Phoebetria palpebrata,off Sydney,23 Jun 1996,Not Confirmed (not assessed)
No case,,Light-mantled Sooty Albatross,Phoebetria palpebrata,off Sydney,16 May 1997,Not Confirmed (not assessed)
No case,,Light-mantled Sooty Albatross,Phoebetria palpebrata,off Sydney,29 Jun 1999,Not Confirmed (not assessed)
No case,,Light-mantled Sooty Albatross,Phoebetria palpebrata,Broadwater Beach,29 Jun 2019,Not Confirmed (not assessed)
No case,,Little Shearwater,Puffinus assimilis,"Mistral Point, Maroubra",3 Jan 2018,Not Confirmed (not assessed)
No case,,Little Shearwater,Puffinus assimilis,"Mistral Point, Maroubra",23 Feb 2019,Not Confirmed (not assessed)
No case,,Little Shearwater,Puffinus assimilis,Broadwater Beach,29 Jun 2019,Not Confirmed (not assessed)
No case,,Little Shearwater,Puffinus assimilis,Sawtell Beach,1 Jul 2019,Not Confirmed (not assessed)
No case,,Little Shearwater,Puffinus assimilis,Broadwater Beach,1 Jul 2019,Not Confirmed (not assessed)
No case,,Little Stint,Calidris minuta,Kooragang Island,4 Nov 1991,Not Confirmed (not assessed)
No case,,Little Stint,Calidris minuta,Farquhar Inlet ,1 Dec 2018,Not Confirmed (not assessed)
No case,,Long-toed Stint,Calidris subminuta,McGraths Hill ,31 Mar 1997,Not Confirmed (not assessed)
No case,,Long-toed Stint,Calidris subminuta,Tullakool Saltworks,20 Jan 1997,Not Confirmed (not assessed)
No case,,Manx Shearwater,Puffinus puffinus,off Wollongong,27 Oct 1996,Not Confirmed (not assessed)
No case,,Masked Booby,Sula dactylatra,off Ballina,x-Apr-1999,Not Confirmed (not assessed)
No case,,Masked Booby,Sula dactylatra,off South West Rocks,19 Nov 1999,Not Confirmed (not assessed)
No case,,Masked Booby,Sula dactylatra,off South West Rocks,16 Dec 1999,Not Confirmed (not assessed)
No case,,Mottled Petrel,Pterodroma inexpectata,off Batemans Bay,11 Dec 2003,Not Confirmed (not assessed)
No case,,Northern Royal Albatross,Diomedea (e.) sanfordi,off Wollongong,22 Sep 1996,Not Confirmed (not assessed)
No case,,Northern Royal Albatross,Diomedea (e.) sanfordi,off Kiama,22 Sep 2018,Not Confirmed (not assessed)
No case,,Olive-backed Sunbird,Cinnyris jugularis,Coffs Harbour ,30 Sep 1993,Not Confirmed (not assessed)
No case,,Radjah Shelduck,Tadorna radjah,20 km SE of Macksville,2 Dec 2002,Not Confirmed (not assessed)
No case,,Red Goshawk,Erythrotriorchis radiatus,Alstonville District,24 Nov 1991,Not accepted
No case,,Red-backed Buttonquail,Turnix maculosus,Richmond,24 Aug 1997,Not Confirmed (not assessed)
No case,,Red-backed Buttonquail,Turnix maculosus,Kingscliff,1 Oct 2018,Not Confirmed (not assessed)
No case,,Red-footed Booby,Sula sula,Ballina,15 Feb 1995,Not Confirmed (not assessed)
No case,,Red-footed Booby,Sula sula,"Long Reef, Sydney ",5 Jun 1999,Not Confirmed (not assessed)
No case,,Red-footed Booby,Sula sula,"Nobbys Beach, Newcastle",2 Feb 2004,Not Confirmed (not assessed)
No case,,Royal Albatross,Diomedea epomophora (sensu lato),off Wollongong,17 Sep 1998,Not Confirmed (not assessed)
No case,,Soft-plumaged Petrel,Pterodroma mollis,off Wollongong,17 Sep 1998,Not Confirmed (not assessed)
No case,,Soft-plumaged Petrel,Pterodroma mollis,off Wollongong,19 Sep 1998,Not Confirmed (not assessed)
No case,,Soft-plumaged Petrel,Pterodroma mollis,off Wollongong,27 Jun 1999,Not Confirmed (not assessed)
No case,,Soft-plumaged Petrel,Pterodroma mollis,off Wollongong,8 Aug 1999,Not Confirmed (not assessed)
No case,,South Polar Skua,Stercorarius maccormicki,off Wollongong,1 Mar 1997,Not Confirmed (not assessed)
No case,,South Polar Skua,Stercorarius maccormicki,off Wollongong,31 Jul 1999,Not Confirmed (not assessed)
No case,,South Polar Skua,Stercorarius maccormicki,"Mistral Point, Maroubra",6 Oct 2018,Not Confirmed (not assessed)
No case,,Southern Fulmar,Fulmarus glacialoides,"Magic Point, Maroubra",8 Jun 2020,Not Confirmed (not assessed)
No case,,Southern Fulmar,Fulmarus glacialoides,"Magic Point, Maroubra",11 Jun 2020,Not Confirmed (not assessed)
No case,,Streaked Shearwater,Calonectris leucomelas,off Wollongong,28 Feb 1994,Not Confirmed (not assessed)
No case,,Tahiti Petrel,Pseudobulweria rostrata,off Wollongong,27 Jan 1997,Not Confirmed (not assessed)
No case,,Tahiti Petrel,Pseudobulweria rostrata,off Wollongong,23 Feb 1997,Not Confirmed (not assessed)
No case,,Tropical Shearwater,Puffinus bailloni,off Wollongong,27 Oct 1996,Not Confirmed (not assessed)
No case,,White Tern,Gygis alba,off Wollongong,11 May 1996,Not Confirmed (not assessed)
No case,,White Wagtail,Motacilla alba,Narran Lake,1 Dec 1997,Not Confirmed (not assessed)
No case,,White-chinned Petrel,Procellaria aequinoctialis,off Lake Wollumboola,5 Dec 1999,Not Confirmed (not assessed)
No case,,White-chinned Petrel,Procellaria aequinoctialis,off Sydney,7 Sep 1996,Not Confirmed (not assessed)
No case,,White-chinned Petrel,Procellaria aequinoctialis,off Sydney,31 Oct 1996,Not Confirmed (not assessed)
No case,,White-chinned Petrel,Procellaria aequinoctialis,off Sydney,21 Nov 1998,Not Confirmed (not assessed)
No case,,White-chinned Petrel,Procellaria aequinoctialis,off Wollongong,22 Sep 1996,Not Confirmed (not assessed)
No case,,White-chinned Petrel,Procellaria aequinoctialis,off Wollongong,17 Sep 1998,Not Confirmed (not assessed)
No case,,White-chinned Petrel,Procellaria aequinoctialis,off Wollongong,5 Dec 1998,Not Confirmed (not assessed)
No case,,White-chinned Petrel,Procellaria aequinoctialis,off Wollongong,13 Dec 1998,Not Confirmed (not assessed)
No case,,White-chinned Petrel,Procellaria aequinoctialis,off Wollongong,19 Dec 1998,Not Confirmed (not assessed)
